,City,Club,State,URL
148,West Palm Beach,Gem and Mineral Society of the Palm Beaches,Florida,http://www.gemandmineralsociety.org/
149,Lakeland,"Imperial Bone Valley Gem, Mineral, & Fossil Society",Florida,http://www.bonevalley.net/
150,Jacksonville,"Jacksonville Gem and Mineral Society, Inc.",Florida,http://www.jaxgemandmineral.org/
151,Miami,"Miami Mineralogical and Lapidary Guild, Inc.",Florida,http://www.mmlg-inc.org/
152,Ft. Walton Beach,Playground Gem and Mineral Society,Florida,http://playgroundgem.org/
153,Punta Gorda,Southwest Florida Fossil Society,Florida,http://www.southwestfloridafossilsociety.org/
154,Port St Lucie,St Lucie County Rock and Gem Club,Florida,http://www.slcrockandgem.org/
155,St Petersburg,Suncoast Gem and Mineral Society,Florida,http://sgams.com/
156,Palm Harbor,Tampa Bay Fossil Club,Florida,http://www.tampabayfossilclub.com/
157,Tampa,"Tampa Bay Mineral & Science Club, Inc.",Florida,http://www.tampabayrockclub.com/
158,The Villages,The Villages Gem and Mineral Society,Florida,http://www.thevillagesgemandmineralsociety.com/
159,Palm Coast,Tomoka Faceters Guild,Florida,http://www.tomokafacetersguild.org/index.html
160,Spring Hill,Withlacoochee Rockhounds,Florida,http://www.withlacoocheerockhounds.com/
161,Athens,Athens Rock and Gem Club,Georgia,http://www.athensrockandgemclub.org/
162,Augusta,Augusta Gem & Mineral Society,Georgia,http://agams.club/
163,Marietta,Cobb County Gem and Mineral Society,Georgia,https://www.ccgms.org/
164,Norcross,"Georgia Mineral Society, Inc.",Georgia,http://www.gamineral.org/
165,Macon,Mid-Georgia Gem and Mineral Society,Georgia,http://midgagmsorg.ipage.com/
166,Rome,Rome Georgia Mineral Society Inc.,Georgia,https://rogams.wordpress.com/
167,Honolulu,"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",Hawaii,http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html
168,Lewiston,"Hells Canyon Gem Club, Inc.",Idaho,http://www.hellscanyongemclub.com/
169,Idaho Falls,Idaho Falls Gem & Mineral Society,Idaho,http://ifgemmineral.weebly.com/
170,Boise,"Idaho Gem Club, Inc.",Idaho,http://www.idahogemclub.com/
171,Twin Falls,Magic Valley Gem Club,Idaho,http://magicvalleygemclub.org/
172,Coeur d'Alene,North Idaho Mineral Club,Idaho,http://www.northidahomineralclub.com/
173,Caldwell,Owyhee Gem & Mineral Society,Idaho,http://www.owyheerocks.com/
174,Oldtown,Pend Oreille Rock and Gem Club,Idaho,https://pendoreillerockandgemclub.wordpress.com/
175,Boise,Southeast Idaho Gem and Mineral Society,Idaho,https://www.facebook.com/SEIGMS
176,Rock Island,Black Hawk Gem & Mineral Club,Illinois,http://www.blackhawkgemandmineralclub.com/
177,Decatur,Central Illinois Gem & Mineral Club,Illinois,http://rmkapta.wixsite.com/cigmc
178,Skokie,Chicago Rocks & Minerals Society,Illinois,http://www.chicagorocks.org/
179,Elgin,Elgin Rock Club,Illinois,http://elginrockclub.org/
180,Macomb,"Geodeland Earth Science Clubs, Inc.",Illinois,http://www.geodeland.com/
181,Springfield,Lincoln Orbit Earth Science Society,Illinois,http://www.loess.org/
182,Chicago,Midwest Historical Research Society,Illinois,http://www.mhrsusa.com/
183,Freeport,Northwest Illinois Rock Club,Illinois,http://nwilrockclubfrpt.blogspot.com/
184,Peoria,Peoria Academy of Science Geology Section,Illinois,http://www.pasgeology.com/
185,Benton,Southern Illinois Earth Science Club,Illinois,http://www.siesclub.org/
186,Macomb,West Central Illinois Rock & Mineral Club,Illinois,http://www.rockchatter.com/
187,Elmhurst,West Suburban Lapidary Club,Illinois,http://www.westsuburbanlapidaryclub.com/
188,Indianapolis,500 Earth Sciences Club,Indiana,http://www.500earthsciencesclub.org/
189,Nashville,Brown County Rock and Mineral Club,Indiana,http://browncountyrock.webs.com/
190,Crown Point,Calumet Gem & Mineral Society,Indiana,https://www.facebook.com/calumetrockclub
191,Evansville,Evansville Lapidary Society,Indiana,http://evansvillelapidarysociety.tumblr.com/
192,Richmond,"Eastern Indiana Gem & Geological Society, Inc.",Indiana,http://eiggs.weebly.com/
193,Bedford,"Lawrence County Rock Club, Inc",Indiana,http://www.lawrencecountyrockclub.org/
194,South Bend,"Michiana Gem & Mineral Society, Inc.",Indiana,http://www.michianagms.org/
195,Fort Wayne,Three Rivers Gem & Mineral Society,Indiana,http://3riversgem_mineral.tripod.com/
196,Cedar Rapids,Cedar Valley Rocks and Minerals Society,Iowa,http://www.cedarvalleyrockclub.org/
197,Des Moines,Des Moines Lapidary Society,Iowa,http://dmlapidary.org/
198,Mount Vernon,Geology Club @ Cornell College,Iowa,http://orgs.cornellcollege.edu/geo_club/
199,Ames,Iowa State University Geology Club,Iowa,https://www.facebook.com/ISUGEOCLUB/
200,Fort Dodge,River Valley Rockhounds,Iowa,http://amfed.org/mwf/states/Iowa/RiverValley.html
201,Fairfield,The Sac & Fox Lapidary Club,Iowa,http://members.iowatelecom.net/billrath/rock_club.html
202,Kansas City,Olathe Gem and Mineral Society,Kansas,http://olathegemclub.com/
203,Topeka,Topeka Gem & Mineral Society,Kansas,http://www.topekagms.org/
204,Wichita,Wichita Gem and Mineral Society,Kansas,http://www.wgmsks.org/
205,Wichita,Wichita Paleontological Society,Kansas,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html
206,Lexington,Blue Grass Gem & Mineral Club of Central Kentucky,Kentucky,http://bggamc.homestead.com/
207,Louisville,KYANA Geological Society,Kentucky,http://www.kyanageo.org/
208,Lexington,Kentucky Paleontological Society,Kentucky,http://www.uky.edu/OtherOrgs/KPS/
209,Shreveport,Ark-La-Tex Gem & Mineral Society,Louisiana,http://larockclub.com/
210,Baton Rouge,Baton Rouge Gem & Mineral Society,Louisiana,http://www.brgemandmineral.org/
211,Leesville,DeRidder Gem & Mineral Society,Louisiana,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/
212,Winthrop,Kennebec Rocks and Minerals Club,Maine,http://kennebec-rocksandminerals.com/
213,Portland,Maine Mineralogical & Geological Society,Maine,http://mainemineralclub.org/
214,South Paris,Oxford County Mineral and Gem Association,Maine,http://ocmgassoc.blogspot.com/
215,Milford,Penobscot Mineral and Lapidary Club,Maine,http://penobscotminerallapidaryclub.com/index.html
216,Bowie,American Fossil Federation,Maryland,http://americanfossilfederation.org/Home.html
217,Baltimore,Baltimore Mineral Society,Maryland,http://www.baltimoremineralsociety.org/
218,Solomons,Calvert Marine Museum Fossil Club,Maryland,http://www.calvertmarinemuseum.com/209/Fossil-Club
219,Elkridge,Central Maryland Rock and Mineral Collectors Exchange,Maryland,https://www.meetup.com/rockhounds/
220,Baltimore,Chesapeake Gem & Mineral Society,Maryland,http://www.chesapeakegemandmineral.org/
221,Baltimore,"Gem Cutters Guild of Baltimore, Inc.",Maryland,http://www.gemcuttersguild.com/
222,Rockville,"Gem, Lapidary, and Mineral Society of Montgomery County, MD., Inc.",Maryland,http://www.glmsmc.com/
223,Bowie,Maryland Geological Society,Maryland,http://www.ecphora.net/mgs/
224,"Washington, DC",Micromineralogists of the National Capital Area,Maryland,http://dcmicrominerals.org/
225,Annapolis,Patuxent Lapidary Guild,Maryland,http://www.patuxentlapidary.org/
226,Clinton,Southern Maryland Rock and Mineral Club,Maryland,http://www.smrmc.org/
227,"Washington, DC",The Mineralogical Society of the District of Columbia,Maryland,http://www.mineralogicalsocietyofdc.org/
228,Boston,"Boston Mineral Club, Inc.",Massachusetts,http://www.bostonmineralclub.org/
229,Springfield,Connecticut Valley Mineral Club,Massachusetts,http://www.cvmineralclub.org/
230,Chemlsford,Micromounters of New England,Massachusetts,http://micromountersofnewengland.org/
231,Westford,Nashoba Valley Mineralogical Society,Massachusetts,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society
232,South Hamilton,North Shore Rock & Mineral Club of Massachusetts,Massachusetts,http://www.northshorerock.org/
233,North Adams,Northern Berkshire Mineral Club,Massachusetts,http://nbmclub.webs.com/
234,Bridgewater,Southeastern Massachusetts Mineral Club,Massachusetts,http://semmc.com/
235,Worcester,Worcester Mineral Club,Massachusetts,http://worcestermineralclub.org/
236,Big Rapids,"Big Rapids Rock, Gem & Mineral Club",Michigan,https://sites.google.com/site/bigrapidsrockgemmineralclub/
237,Lansing,Central Michigan Lapidary and Mineral Society,Michigan,http://michrocks.org/
238,Dollar Bay,Copper Country Rock and Mineral Club,Michigan,http://www.ccrmc.info/
239,Flint,Flint Rock and Gem Club,Michigan,http://www.flintrockandgem.org/
240,Traverse City,Grand Traverse Area Rock and Mineral Club,Michigan,http://tcrockhounds.com/
241,Wyoming,Indian Mounds Rock & Mineral Club,Michigan,http://www.indianmoundsrockclub.com/
242,Ishpeming,Ishpeming Rock and Mineral Club,Michigan,http://www.ishpemingrocks.org/
243,Kalamazoo,Kalamazoo Geological & Mineral Society,Michigan,http://kalamazoorockclub.org/
244,Howell,Livingston Gem & Mineral Society,Michigan,http://www.livingstongemandmineralsociety.com/
245,Michigan Center,Michigan Gem & Mineral Society,Michigan,http://mgmsrockclub.com/
246,Bloomfield Hills,Michigan Mineralogical Society,Michigan,https://www.michmin.org/
247,Midland,Mid-Michigan Rock Club,Michigan,http://www.midmichrockclub.com/?Page=1
248,Grand Rapids,Midwest Faceters' Guild,Michigan,http://www.midwestfaceters.org/
249,Taylor,Midwest Mineralological & Lapidary Society,Michigan,http://www.mmls.us/
250,Roscommon,Mikenauk Rock and Gem Club,Michigan,http://mikenaukclub.weebly.com/
251,Mt. Clemens,Mount Clemens Gem & Lapidary Society,Michigan,http://mcgls.org/
252,Waterford,Oakland County Earth Science Club,Michigan,http://www.ocesc.com/
253,Livonia,Roamin Club,Michigan,https://roaminrockclub.weebly.com/
254,Morenci,StateLine Gem & Mineral Society,Michigan,http://statelinegms.com/
255,Holland,"Tulip City Gem & Mineral Club, Inc.",Michigan,http://www.tulipcity.org/
256,Minneapolis,Anoka County Gem & Mineral Club,Minnesota,http://www.amfed.org/mwf/states/Minnesota/AnokaGem.html
257,Brainerd,"Cuyuna Rock, Gem and Mineral Society",Minnesota,http://cuyunarockclub.org/wp/
258,Falcon Heights,Minnesota Mineral Club,Minnesota,http://minnesotamineralclub.org/
259,Mankato,Minnesota Valley Gem & Mineral Club,Minnesota,http://www.mnvalleygemandmineralclub.com/
260,Stillwater,St Croix Rockhounds,Minnesota,http://stcroixrockhounds.org/
261,Gulfport,"Harrison County Gem & Mineral Society, Inc.",Mississippi,http://www.gulfportgems.org/
262,Jackson,Mississippi Gem & Mineral Society,Mississippi,http://missgems.org/
263,Jackson,Mississippi Geological Society,Mississippi,http://www.missgeo.com/
264,Ocean Springs,Mississippi Gulf Coast Gem and Mineral Society,Mississippi,http://www.mgcgms.org/
265,Tupelo,North Mississippi Gem and Mineral Society,Mississippi,http://www.nmgms.org/
266,Columbia,Central Missouri Rock and Lapidary Club,Missouri,http://www.cmrlc.org/
267,Independence,Independence Gem & Mineral Society,Missouri,http://www.igams.co/
268,St. Joseph,Missouri Valley Gem & Mineral Society,Missouri,http://www.movalleyrockclub.com/
269,Lincoln,"Mozarkite Society of Lincoln, Inc.",Missouri,http://www.mozarkite.com/
270,Springfield,Ozark Mountain Gem & Mineral Society,Missouri,https://www.facebook.com/omgms.57
271,St. Louis,Rock Hobby Club of Greater Saint Louis,Missouri,xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx
272,St. Louis,Rockwood Gem & Mineral Society,Missouri,http://rockwood.stlearthsci.org/
273,St. Louis,St. Louis Mineral & Gem Society,Missouri,http://www.stlrockclub.com/
274,St. Peters,"Show Me Gems & Minerals Club, Inc.",Missouri,http://showme.stlearthsci.org/
275,Kansas City,Show-Me Rockhounds Kansas City,Missouri,https://showmerockhounds.com/
276,Billings,"Billings Gem & Mineral Club, Inc.",Montana,http://www.billingsgemclub.com/
277,Corvallis,Bitterroot Gem & Mineral Society,Montana,http://www.ravalligemandmineralclub.org/
278,Bozeman,Bozeman Gem and Mineral Club,Montana,http://bozemangemandmineralclub.com/
279,Missoula,Hellgate Mineral Society,Montana,https://www.facebook.com/HellgateMineralSociety/
280,Kalispell,Kalispell Rockhound Club,Montana,http://www.kalispellrockhounds.org/
281,Lincoln,"Lincoln Gem & Mineral Club, Inc.",Nebraska,https://www.lincolngemmineralclub.org/
282,Reno,Comstock Gold Prospectors,Nevada,http://cgpgold.org/
283,Carson City,Great Basin Gem & Mineral Club,Nevada,http://greatbasingemandmineralclub.rocks/
284,Carson City,High Desert Rockers,Nevada,https://highdesertrockers.wordpress.com/
285,Pahrump,Nye Gold Seekers,Nevada,http://nyegoldseekers.webs.com/
286,Reno,Reno Gem and Mineral Society,Nevada,http://www.renorockhounds.com/
287,Las Vegas,Southern Nevada Gem and Mineral Society,Nevada,http://www.snvgms.org/
288,Concord,Capital Mineral Club,New,http://www.capitalmineralclub.org/
289,Keene,Keene Mineral Club,New,https://sites.google.com/site/keenemineralclub/home
290,Conway,Saco Valley Gem and Mineral Club,New,http://www.sacovalleygemandmineralclub.org/
291,Dover,Southeastern New Hampshire Mineral Club,New,https://www.senhmc.org/
292,Cologne,Cape Atlantic Rockhounds Inc.,New,http://www.capeatlanticrockhounds.com/
293,Woodbury,Delaware Valley Earth Science Society,New,http://www.dvess.org/
294,Marlboro Township,Friends of Mineralogy - New Jersey Chapter,New,https://fomnj.wordpress.com/
295,Morristown,Morris Museum Mineralogical Society,New,http://morrismuseum.org/mineral-society/
296,Mountainside,"New Jersey Mineralogical Society, Inc",New,http://www.njmin.org/
297,Paterson,"North Jersey Mineralogical Society, Inc.",New,http://www.nojms.webs.com/
298,Albuquerque,Albuquerque Gem & Mineral Club,New,http://www.agmc.info/
299,Carlsbad,Carlsbad Gem and Mineral Society,New,http://www.carlsbadgms.org/
300,Deming,Deming Gem & Mineral Society,New,http://www.thedgms.com/
301,Silver City,"Grant County Rolling Stones Gem & Mineral Society, Inc.",New,http://rollingstonesgms.blogspot.com/
302,Los Alamos,Los Alamos Geological Society,New,http://pweb.netcom.com/~hoffmans/LAGS.html
303,Buffalo,"Buffalo Geological Society, Inc.",New,http://www.bgsny.org/
304,Albany,Capital District Mineral Club,New,http://capitaldistrictmineralclub.com/
305,Syracuse,"Gem and Mineral Society of Syracuse, Inc.",New,http://www.gmss.us/
306,Bellmore,Island Rockhounds Inc.,New,http://www.islandrockhounds.org/
307,Jamesport,Long Island Mineral & Geology Society,New,http://www.limineralandgeology.com/LiMags/Home.html
308,Poughkeepsie,Mid-Hudson Valley Gem and Mineral Society Inc.,New,http://mhvgms.org/index.html
309,Glen Cove,Nassau Mineral Club,New,http://nassaumineralclub.org/
310,NYC,New York Mineralogical Club,New,http://www.newyorkmineralogicalclub.org/
311,NYC,New York Paleontological Society,New,http://www.nyps.org/index.htm
312,Middletown,Orange County Mineral Society,New,http://www.orangecountymineralsocietynewyork.com/
313,Rochester,Rochester Academy of Science,New,http://www.rasny.org/
314,Rochester,Rochester Lapiday Society,New,http://www.rochesterlapidary.org/
315,Canton,St. Lawrence County Rock & Mineral Club,New,http://stlawrencecountymineralclub.org/
